"","word","n","per"
"1","students",35,8.51581508515815
"2","class",14,3.40632603406326
"3","online",9,2.18978102189781
"4","student",8,1.94647201946472
"5","lectures",7,1.70316301703163
"6","person",7,1.70316301703163
"7","recorded",7,1.70316301703163
"8","time",7,1.70316301703163
"9","delivery",6,1.45985401459854
"10","courses",5,1.21654501216545
"11","instructor",5,1.21654501216545
"12","attendance",4,0.97323600973236
"13","classes",4,0.97323600973236
"14","examination",4,0.97323600973236
"15","instructors",4,0.97323600973236
"16","invigilated",4,0.97323600973236
"17","teaching",4,0.97323600973236
"18","academic",3,0.72992700729927
"19","advantage",3,0.72992700729927
"20","book",3,0.72992700729927
"21","classmates",3,0.72992700729927
"22","discussion",3,0.72992700729927
"23","due",3,0.72992700729927
"24","graduate",3,0.72992700729927
"25","interaction",3,0.72992700729927
"26","material",3,0.72992700729927
"27","mode",3,0.72992700729927
"28","offered",3,0.72992700729927
"29","prefer",3,0.72992700729927
"30","project",3,0.72992700729927
"31","question",3,0.72992700729927
"32","questions",3,0.72992700729927
"33","seminars",3,0.72992700729927
"34","tests",3,0.72992700729927
"35","challenging",2,0.48661800486618
"36","dishonesty",2,0.48661800486618
"37","exam",2,0.48661800486618
"38","examinations",2,0.48661800486618
"39","exams",2,0.48661800486618
"40","final",2,0.48661800486618
"41","home",2,0.48661800486618
"42","idea",2,0.48661800486618
"43","impact",2,0.48661800486618
"44","individual",2,0.48661800486618
"45","laboratory",2,0.48661800486618
"46","lack",2,0.48661800486618
"47","learning",2,0.48661800486618
"48","limited",2,0.48661800486618
"49","midterm",2,0.48661800486618
"50","offer",2,0.48661800486618
"51","reports",2,0.48661800486618
"52","semester",2,0.48661800486618
"53","session",2,0.48661800486618
"54","size",2,0.48661800486618
"55","synchronous",2,0.48661800486618
"56","test",2,0.48661800486618
"57","times",2,0.48661800486618
"58","told",2,0.48661800486618
"59","undergraduate",2,0.48661800486618
"60","view",2,0.48661800486618
"61","viewed",2,0.48661800486618
"62","absence",1,0.24330900243309
"63","absent",1,0.24330900243309
"64","accommodated",1,0.24330900243309
"65","add",1,0.24330900243309
"66","adverse",1,0.24330900243309
"67","allotted",1,0.24330900243309
"68","answer",1,0.24330900243309
"69","approximately",1,0.24330900243309
"70","arose",1,0.24330900243309
"71","assignments",1,0.24330900243309
"72","asynchronous",1,0.24330900243309
"73","attend",1,0.24330900243309
"74","availability",1,0.24330900243309
"75","benefit",1,0.24330900243309
"76","benefited",1,0.24330900243309
"77","brightspace",1,0.24330900243309
"78","cancel",1,0.24330900243309
"79","challenge",1,0.24330900243309
"80","challenged",1,0.24330900243309
"81","changing",1,0.24330900243309
"82","charm",1,0.24330900243309
"83","choice",1,0.24330900243309
"84","clarify",1,0.24330900243309
"85","classroom",1,0.24330900243309
"86","close",1,0.24330900243309
"87","comment",1,0.24330900243309
"88","communication",1,0.24330900243309
"89","components",1,0.24330900243309
"90","confusion",1,0.24330900243309
"91","consistent",1,0.24330900243309
"92","consult",1,0.24330900243309
"93","content",1,0.24330900243309
"94","continues",1,0.24330900243309
"95","convenient",1,0.24330900243309
"96","core",1,0.24330900243309
"97","d2l's",1,0.24330900243309
"98","day",1,0.24330900243309
"99","deal",1,0.24330900243309
"100","dealing",1,0.24330900243309
"101","delinquent",1,0.24330900243309
"102","depth",1,0.24330900243309
"103","difficult",1,0.24330900243309
"104","difficulties",1,0.24330900243309
"105","difficulty",1,0.24330900243309
"106","disadvantaged",1,0.24330900243309
"107","discourage",1,0.24330900243309
"108","distant",1,0.24330900243309
"109","doubts",1,0.24330900243309
"110","dropped",1,0.24330900243309
"111","earlier",1,0.24330900243309
"112","edit",1,0.24330900243309
"113","effective",1,0.24330900243309
"114","effort",1,0.24330900243309
"115","engaged",1,0.24330900243309
"116","engaging",1,0.24330900243309
"117","enrollment",1,0.24330900243309
"118","equal",1,0.24330900243309
"119","error",1,0.24330900243309
"120","event",1,0.24330900243309
"121","exceptions",1,0.24330900243309
"122","experience",1,0.24330900243309
"123","experiments",1,0.24330900243309
"124","explain",1,0.24330900243309
"125","facing",1,0.24330900243309
"126","features",1,0.24330900243309
"127","feedback",1,0.24330900243309
"128","field",1,0.24330900243309
"129","formidable",1,0.24330900243309
"130","found",1,0.24330900243309
"131","giving",1,0.24330900243309
"132","greatly",1,0.24330900243309
"133","habit",1,0.24330900243309
"134","half",1,0.24330900243309
"135","handling",1,0.24330900243309
"136","helpful",1,0.24330900243309
"137","highly",1,0.24330900243309
"138","hope",1,0.24330900243309
"139","hours",1,0.24330900243309
"140","human",1,0.24330900243309
"141","identify",1,0.24330900243309
"142","ignorance",1,0.24330900243309
"143","incidents",1,0.24330900243309
"144","instruct",1,0.24330900243309
"145","instructor's",1,0.24330900243309
"146","interactions",1,0.24330900243309
"147","involve",1,0.24330900243309
"148","involved",1,0.24330900243309
"149","jobs",1,0.24330900243309
"150","labs",1,0.24330900243309
"151","leads",1,0.24330900243309
"152","learn",1,0.24330900243309
"153","lecture",1,0.24330900243309
"154","listened",1,0.24330900243309
"155","live",1,0.24330900243309
"156","main",1,0.24330900243309
"157","measures",1,0.24330900243309
"158","meet",1,0.24330900243309
"159","meeting",1,0.24330900243309
"160","minutes",1,0.24330900243309
"161","missed",1,0.24330900243309
"162","mitigate",1,0.24330900243309
"163","newfoundland",1,0.24330900243309
"164","normal",1,0.24330900243309
"165","observations",1,0.24330900243309
"166","occasional",1,0.24330900243309
"167","occasions",1,0.24330900243309
"168","occurred",1,0.24330900243309
"169","occurrence",1,0.24330900243309
"170","office",1,0.24330900243309
"171","opportunity",1,0.24330900243309
"172","pandemic",1,0.24330900243309
"173","participation",1,0.24330900243309
"174","past",1,0.24330900243309
"175","pause",1,0.24330900243309
"176","perfect",1,0.24330900243309
"177","period",1,0.24330900243309
"178","personal",1,0.24330900243309
"179","plagiarism",1,0.24330900243309
"180","playback",1,0.24330900243309
"181","pleasantly",1,0.24330900243309
"182","posed",1,0.24330900243309
"183","positive",1,0.24330900243309
"184","pre",1,0.24330900243309
"185","preparation",1,0.24330900243309
"186","prerecorded",1,0.24330900243309
"187","presentation",1,0.24330900243309
"188","primarily",1,0.24330900243309
"189","productive",1,0.24330900243309
"190","provide",1,0.24330900243309
"191","quiet",1,0.24330900243309
"192","rare",1,0.24330900243309
"193","reason",1,0.24330900243309
"194","record",1,0.24330900243309
"195","reduced",1,0.24330900243309
"196","regard",1,0.24330900243309
"197","regular",1,0.24330900243309
"198","require",1,0.24330900243309
"199","reschedule",1,0.24330900243309
"200","resources",1,0.24330900243309
"201","respect",1,0.24330900243309
"202","result",1,0.24330900243309
"203","review",1,0.24330900243309
"204","rewind",1,0.24330900243309
"205","scheduled",1,0.24330900243309
"206","sets",1,0.24330900243309
"207","share",1,0.24330900243309
"208","shifts",1,0.24330900243309
"209","similarly",1,0.24330900243309
"210","snowstorms",1,0.24330900243309
"211","software",1,0.24330900243309
"212","solutions",1,0.24330900243309
"213","solve",1,0.24330900243309
"214","sources",1,0.24330900243309
"215","specifically",1,0.24330900243309
"216","stated",1,0.24330900243309
"217","successful",1,0.24330900243309
"218","suitable",1,0.24330900243309
"219","surprised",1,0.24330900243309
"220","system",1,0.24330900243309
"221","tas",1,0.24330900243309
"222","taught",1,0.24330900243309
"223","testing",1,0.24330900243309
"224","timely",1,0.24330900243309
"225","tutorials",1,0.24330900243309
"226","uncommon",1,0.24330900243309
"227","valuable",1,0.24330900243309
"228","varying",1,0.24330900243309
"229","videos",1,0.24330900243309
"230","viewing",1,0.24330900243309
"231","warranted",1,0.24330900243309
"232","watch",1,0.24330900243309
"233","zones",1,0.24330900243309
