"","word","n","per","value"
"1","advantage",3,0.72992700729927,2
"2","lack",2,0.48661800486618,-2
"3","limited",2,0.48661800486618,-1
"4","benefit",1,0.24330900243309,2
"5","cancel",1,0.24330900243309,-1
"6","challenge",1,0.24330900243309,-1
"7","charm",1,0.24330900243309,3
"8","difficult",1,0.24330900243309,-1
"9","disadvantaged",1,0.24330900243309,-2
"10","doubts",1,0.24330900243309,-1
"11","effective",1,0.24330900243309,2
"12","error",1,0.24330900243309,-2
"13","helpful",1,0.24330900243309,2
"14","hope",1,0.24330900243309,2
"15","ignorance",1,0.24330900243309,-2
"16","missed",1,0.24330900243309,-2
"17","opportunity",1,0.24330900243309,2
"18","perfect",1,0.24330900243309,3
"19","positive",1,0.24330900243309,2
"20","share",1,0.24330900243309,1
"21","solutions",1,0.24330900243309,1
"22","solve",1,0.24330900243309,1
"23","successful",1,0.24330900243309,3
