"","word","n","per"
"1","teaching",9,3.62903225806452
"2","system",8,3.2258064516129
"3","interaction",6,2.41935483870968
"4","students",6,2.41935483870968
"5","classes",5,2.01612903225806
"6","online",5,2.01612903225806
"7","platforms",4,1.61290322580645
"8","class",3,1.20967741935484
"9","education",3,1.20967741935484
"10","lack",3,1.20967741935484
"11","physical",3,1.20967741935484
"12","teachers",3,1.20967741935484
"13","ability",2,0.806451612903226
"14","absence",2,0.806451612903226
"15","alternative",2,0.806451612903226
"16","attention",2,0.806451612903226
"17","books",2,0.806451612903226
"18","classmates",2,0.806451612903226
"19","curriculum",2,0.806451612903226
"20","directly",2,0.806451612903226
"21","distraction",2,0.806451612903226
"22","easy",2,0.806451612903226
"23","exam",2,0.806451612903226
"24","google",2,0.806451612903226
"25","human",2,0.806451612903226
"26","knowledge",2,0.806451612903226
"27","opinion",2,0.806451612903226
"28","plagiarism",2,0.806451612903226
"29","practical",2,0.806451612903226
"30","preferable",2,0.806451612903226
"31","presence",2,0.806451612903226
"32","related",2,0.806451612903226
"33","screen",2,0.806451612903226
"34","sessions",2,0.806451612903226
"35","social",2,0.806451612903226
"36","student",2,0.806451612903226
"37","accesibility",1,0.403225806451613
"38","access",1,0.403225806451613
"39","accessible",1,0.403225806451613
"40","accounts",1,0.403225806451613
"41","act",1,0.403225806451613
"42","acts",1,0.403225806451613
"43","addressed",1,0.403225806451613
"44","animal",1,0.403225806451613
"45","application",1,0.403225806451613
"46","applications",1,0.403225806451613
"47","assignment",1,0.403225806451613
"48","boring",1,0.403225806451613
"49","brainstorming",1,0.403225806451613
"50","breaks",1,0.403225806451613
"51","captures",1,0.403225806451613
"52","catalyst",1,0.403225806451613
"53","classroom",1,0.403225806451613
"54","classrooms",1,0.403225806451613
"55","collection",1,0.403225806451613
"56","college",1,0.403225806451613
"57","comfort",1,0.403225806451613
"58","conducive",1,0.403225806451613
"59","connection",1,0.403225806451613
"60","connections",1,0.403225806451613
"61","connectivity",1,0.403225806451613
"62","cooped",1,0.403225806451613
"63","creatures",1,0.403225806451613
"64","customisable",1,0.403225806451613
"65","days",1,0.403225806451613
"66","decreased",1,0.403225806451613
"67","demonstration",1,0.403225806451613
"68","detecting",1,0.403225806451613
"69","deterrent",1,0.403225806451613
"70","difficult",1,0.403225806451613
"71","direct",1,0.403225806451613
"72","disadvantageous",1,0.403225806451613
"73","distractions",1,0.403225806451613
"74","easily",1,0.403225806451613
"75","environmental",1,0.403225806451613
"76","essential",1,0.403225806451613
"77","experience",1,0.403225806451613
"78","experiment",1,0.403225806451613
"79","experiments",1,0.403225806451613
"80","extent",1,0.403225806451613
"81","flexibility",1,0.403225806451613
"82","front",1,0.403225806451613
"83","functional",1,0.403225806451613
"84","gaining",1,0.403225806451613
"85","gauge",1,0.403225806451613
"86","hands",1,0.403225806451613
"87","helps",1,0.403225806451613
"88","hours",1,0.403225806451613
"89","humans",1,0.403225806451613
"90","imbibition",1,0.403225806451613
"91","importance",1,0.403225806451613
"92","improved",1,0.403225806451613
"93","improving",1,0.403225806451613
"94","increasing",1,0.403225806451613
"95","initial",1,0.403225806451613
"96","integrated",1,0.403225806451613
"97","integration",1,0.403225806451613
"98","integrity",1,0.403225806451613
"99","interact",1,0.403225806451613
"100","interactions",1,0.403225806451613
"101","interactive",1,0.403225806451613
"102","internet",1,0.403225806451613
"103","irrespective",1,0.403225806451613
"104","issue",1,0.403225806451613
"105","issues",1,0.403225806451613
"106","learning",1,0.403225806451613
"107","lectures",1,0.403225806451613
"108","library",1,0.403225806451613
"109","location",1,0.403225806451613
"110","manage",1,0.403225806451613
"111","material",1,0.403225806451613
"112","materials",1,0.403225806451613
"113","matter",1,0.403225806451613
"114","meet",1,0.403225806451613
"115","method",1,0.403225806451613
"116","methods",1,0.403225806451613
"117","monotonous",1,0.403225806451613
"118","motivation",1,0.403225806451613
"119","necessity",1,0.403225806451613
"120","network",1,0.403225806451613
"121","notes",1,0.403225806451613
"122","notifications",1,0.403225806451613
"123","offline",1,0.403225806451613
"124","options",1,0.403225806451613
"125","organisational",1,0.403225806451613
"126","passing",1,0.403225806451613
"127","pattern",1,0.403225806451613
"128","peers",1,0.403225806451613
"129","person",1,0.403225806451613
"130","poor",1,0.403225806451613
"131","pressure",1,0.403225806451613
"132","proper",1,0.403225806451613
"133","providing",1,0.403225806451613
"134","psychological",1,0.403225806451613
"135","psychologically",1,0.403225806451613
"136","reasons",1,0.403225806451613
